Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Boost (psi),Calculated Load (g/rev),Comm Fuel Final (AFR),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Economy (mpg),Fuel Level (V),Fuel Temp (F),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF (g/s),MAF Volts (V),RPM (RPM),TD Boost Error (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-001 v1.7.4.1-17436][2002-2003 USDM Impreza WRX][Reflash: Stage2+EBCS 91 v350.ptm - Realtime: Stage2+EBCS 91 v350.ptm]
0.000,2.34,5.47,14.47,-2.71,0.71,15.31,15,0.00,0.00,24.0,0.34,61,34.00,13.45,50,37.65,2.50,3152,1.08,15.3,81,3.53,0
0.079,2.34,5.47,14.47,-2.61,0.71,15.28,15,0.00,0.00,24.9,0.32,61,34.00,13.46,50,36.18,2.44,3155,-0.37,9.8,80,1.57,0
0.180,0.00,5.47,14.36,-4.83,0.52,17.40,15,0.00,0.00,38.8,0.32,61,35.50,10.14,50,22.92,2.14,3168,1.51,7.1,80,0.00,0
0.278,-7.03,5.47,13.09,-6.61,0.37,16.93,15,0.00,0.00,51.7,0.50,61,41.50,6.70,50,16.15,1.96,3142,2.48,7.1,80,0.00,0
0.378,-3.12,5.47,14.47,-7.33,0.32,16.17,15,0.00,0.00,57.2,0.34,61,40.00,6.08,50,16.09,1.96,3139,3.40,7.1,80,0.00,0
0.481,1.56,5.47,15.04,-7.75,0.31,15.77,15,0.00,0.00,60.2,0.32,61,39.00,6.74,50,15.98,1.96,3159,3.62,7.1,81,0.00,0
0.579,5.47,5.47,15.62,-7.93,0.30,15.83,15,0.00,0.00,62.3,0.32,61,38.50,6.69,50,15.80,1.96,3150,3.85,7.1,81,0.00,0
0.685,7.03,5.47,15.27,-8.04,0.30,15.88,15,0.00,0.00,58.8,0.34,61,39.00,6.68,50,15.88,1.96,3130,3.89,7.1,81,0.00,0
0.780,6.25,5.47,14.70,-8.10,0.30,15.94,15,0.00,0.00,58.8,0.60,61,38.50,6.71,50,16.19,1.98,3146,3.96,7.1,81,0.00,0
0.880,6.25,5.47,14.59,-8.02,0.32,15.99,15,0.00,0.00,54.1,1.12,61,39.00,6.67,50,16.91,2.00,3128,3.93,7.8,81,0.00,0
0.975,7.03,5.47,14.59,-7.85,0.33,16.04,15,0.00,0.00,51.7,1.10,61,40.00,7.32,50,18.26,2.04,3118,3.67,8.2,81,0.00,0
1.084,7.03,5.47,14.59,-7.68,0.35,16.17,15,0.00,0.00,49.6,0.94,61,40.00,7.37,50,18.37,2.04,3139,3.46,8.6,81,0.00,0
1.183,6.25,5.47,14.36,-7.44,0.37,15.75,15,0.00,0.00,47.0,0.88,61,41.00,7.31,50,19.98,2.10,3114,3.25,10.2,81,0.00,0
1.279,7.03,5.47,14.59,-6.85,0.41,15.11,15,0.00,0.00,40.5,1.06,61,42.00,8.70,50,22.60,2.18,3138,2.32,11.8,81,0.00,0
1.380,7.81,5.47,14.70,-6.05,0.48,14.92,15,0.00,0.00,32.7,1.30,61,40.00,10.03,50,27.85,2.30,3134,2.34,13.3,81,0.78,0
1.480,5.47,5.47,14.36,-5.12,0.54,15.17,15,0.00,0.00,30.3,1.16,61,37.00,10.64,50,29.51,2.34,3116,2.34,14.1,80,2.35,0
1.585,5.47,5.47,14.13,-4.58,0.58,15.25,15,0.00,0.00,28.2,0.58,61,36.00,11.35,50,31.67,2.38,3129,2.17,14.5,80,2.35,0
1.686,4.69,5.47,14.36,-4.20,0.61,15.61,15,0.00,0.00,28.0,0.32,61,35.50,11.90,50,32.54,2.40,3121,1.86,14.5,80,2.35,0
1.785,3.91,5.47,14.36,-3.94,0.63,15.54,15,0.00,0.00,27.0,0.58,61,35.50,11.92,50,33.33,2.42,3104,1.72,14.5,80,2.35,0
1.890,3.91,5.47,14.47,-3.75,0.65,15.48,15,0.00,0.00,26.6,0.70,61,35.00,12.66,50,34.06,2.44,3124,1.59,14.5,80,2.75,0
1.991,3.12,5.47,14.36,-3.54,0.66,15.48,15,0.00,0.00,25.9,0.90,61,35.00,12.57,50,34.29,2.44,3100,1.47,14.5,80,2.75,0
2.092,3.12,5.47,14.47,-3.38,0.66,15.45,15,0.00,0.00,26.1,0.80,61,35.00,12.58,50,35.14,2.44,3103,1.26,14.5,80,2.75,0
2.191,3.91,5.47,14.59,-3.21,0.68,15.39,15,0.00,0.00,25.4,0.50,61,34.50,12.66,50,35.25,2.46,3122,1.26,14.5,80,2.75,0
2.292,3.12,5.47,14.59,-3.07,0.68,15.37,15,0.00,0.00,25.4,0.60,61,34.50,12.64,50,35.73,2.48,3120,1.12,14.9,80,2.75,0
2.392,3.91,5.47,14.59,-2.92,0.70,15.15,15,0.00,0.00,24.7,1.08,61,34.00,13.30,50,36.45,2.48,3117,1.14,14.9,80,3.14,0
2.491,3.91,5.47,14.59,-2.75,0.71,15.31,15,0.00,0.00,24.2,0.80,61,34.00,13.31,50,37.29,2.50,3120,1.04,14.9,80,3.14,0
2.592,3.12,5.47,14.36,-2.57,0.72,15.27,15,0.00,0.00,23.8,0.60,61,34.00,13.21,50,37.15,2.50,3096,1.04,15.3,80,3.53,0
2.688,3.12,5.47,14.47,-2.51,0.72,15.25,15,0.00,0.00,23.8,0.54,61,34.00,13.96,50,38.00,2.50,3117,0.93,15.3,80,3.53,0
2.789,3.12,5.47,14.59,-2.32,0.73,15.05,15,0.00,0.00,23.5,0.76,61,33.50,13.87,50,38.11,2.52,3095,1.02,15.7,80,3.92,0
2.890,3.12,5.47,14.59,-2.15,0.74,15.19,15,0.00,0.00,23.3,1.12,61,33.50,13.86,50,38.85,2.52,3093,1.16,15.7,80,4.31,0
2.995,3.91,5.47,14.59,-1.95,0.76,14.96,15,0.00,0.00,22.6,1.12,61,33.00,14.63,50,39.79,2.56,3117,1.18,16.1,80,4.71,0
3.097,3.12,5.47,14.59,-1.72,0.78,14.92,15,0.00,0.00,21.6,1.02,61,32.50,15.16,50,41.26,2.58,3090,1.20,16.5,80,4.71,0
3.198,2.34,5.47,14.36,-1.53,0.80,15.06,15,0.00,0.00,21.4,0.98,61,32.50,15.28,50,41.40,2.58,3114,1.24,16.5,80,5.10,0
3.293,2.34,5.47,14.36,-1.33,0.81,15.06,15,0.00,0.00,21.4,1.12,61,32.00,15.27,50,41.62,2.58,3112,1.12,16.5,80,5.10,0
3.399,2.34,5.47,14.47,-1.18,0.81,15.01,15,0.00,0.00,21.2,1.16,61,32.00,15.16,50,42.28,2.60,3090,1.04,16.5,80,5.49,0
3.498,2.34,5.47,14.47,-1.06,0.83,14.98,15,0.00,0.00,20.7,1.08,61,32.00,15.82,50,43.21,2.60,3090,1.01,16.9,80,5.49,0
3.601,1.56,5.47,14.47,-0.93,0.83,14.95,15,0.00,0.00,20.7,0.92,61,31.50,15.81,50,43.19,2.62,3110,0.95,16.9,80,5.49,0
3.702,2.34,5.47,14.47,-0.87,0.84,14.89,15,0.00,0.00,20.9,0.60,61,31.50,15.81,50,43.17,2.62,3089,0.89,16.9,80,5.49,0
3.802,1.56,5.47,14.47,-0.77,0.84,14.87,15,0.00,0.00,20.2,0.60,61,31.50,15.93,50,43.56,2.62,3112,0.79,16.9,79,5.49,0
3.895,1.56,5.47,14.59,-0.72,0.84,14.84,15,0.00,0.00,20.5,0.68,61,31.50,15.83,50,43.70,2.62,3091,0.93,16.9,79,5.88,0
3.995,1.56,5.47,14.47,-0.64,0.85,14.84,15,0.00,0.00,20.2,0.78,61,31.50,15.84,50,44.37,2.62,3094,0.85,16.9,79,5.88,0
4.105,1.56,5.47,14.47,-0.56,0.85,14.82,15,0.00,0.00,20.0,0.92,61,31.00,15.83,50,44.34,2.62,3091,0.81,17.3,79,5.88,0
4.199,0.78,5.47,14.47,-0.54,0.86,14.79,15,0.00,0.00,20.0,0.70,61,31.00,15.84,50,44.34,2.64,3094,0.87,17.3,79,5.88,0
4.300,1.56,5.47,14.59,-0.46,0.86,14.76,15,0.00,0.00,20.0,0.60,61,31.00,16.61,50,45.17,2.66,3114,0.97,17.3,80,6.27,0
4.401,0.78,5.47,14.59,-0.41,0.87,14.76,15,0.00,0.00,20.0,0.80,61,30.50,16.50,50,45.30,2.66,3094,1.01,17.3,80,6.27,0
4.503,1.56,5.47,14.59,-0.37,0.87,14.73,15,0.00,0.00,19.8,1.06,61,29.50,16.60,50,45.75,2.66,3113,0.95,17.3,80,6.27,0
4.602,1.56,5.47,14.47,-0.25,0.88,14.71,15,0.00,0.00,19.8,1.04,61,29.50,16.60,50,45.73,2.66,3112,0.91,17.3,80,6.27,0
4.703,0.78,5.47,14.47,-0.27,0.88,14.71,15,0.00,0.00,19.5,0.92,61,29.50,16.49,50,45.73,2.66,3093,0.89,17.3,79,6.27,0
4.808,0.78,5.47,14.36,-0.19,0.88,14.68,15,0.00,0.00,19.3,0.90,61,29.50,16.62,50,45.55,2.66,3117,0.87,17.3,79,6.27,0
4.908,0.00,5.47,14.47,-0.25,0.88,14.69,15,0.00,0.00,19.3,0.92,61,29.50,16.47,50,45.73,2.66,3116,0.87,17.3,79,6.27,0
5.009,0.00,5.47,14.47,-0.27,0.88,14.69,15,0.00,0.00,19.5,0.80,61,29.50,16.62,50,45.12,2.66,3116,0.91,17.3,79,6.27,0
5.108,0.00,5.47,14.47,-0.27,0.87,14.69,15,0.00,0.00,19.5,0.80,61,29.50,16.51,50,45.42,2.66,3117,0.81,17.3,79,6.27,0
5.207,0.00,5.47,14.47,-0.33,0.87,14.69,15,0.00,0.00,20.0,0.60,61,30.00,16.52,50,44.55,2.66,3098,0.81,17.3,79,6.27,0
5.307,0.00,5.47,14.47,-0.35,0.87,14.69,15,0.00,0.00,19.5,0.50,61,30.00,16.61,50,45.14,2.66,3114,0.97,17.3,79,6.27,0
5.406,-0.78,5.47,14.47,-0.33,0.87,14.72,15,0.00,0.00,19.8,0.50,61,30.00,16.51,50,44.71,2.64,3096,0.83,17.3,79,6.27,0
5.505,0.00,5.47,14.47,-0.39,0.87,14.73,15,0.00,0.00,19.8,0.60,61,30.50,15.87,50,45.45,2.64,3100,0.85,17.3,79,6.27,0
5.611,0.00,5.47,14.59,-0.31,0.87,14.72,15,0.00,0.00,19.5,0.90,61,30.50,16.63,50,45.45,2.66,3118,0.83,17.3,79,6.27,0
5.711,0.00,5.47,14.70,-0.37,0.87,14.72,15,0.00,0.00,19.5,1.04,61,29.50,16.54,50,45.75,2.66,3102,0.83,17.3,79,6.27,0
5.811,0.00,5.47,14.47,-0.31,0.88,14.72,15,0.00,0.00,19.3,0.98,61,29.50,16.62,50,45.75,2.66,3117,0.97,17.3,79,6.27,0
5.912,0.00,5.47,14.47,-0.31,0.87,14.73,15,0.00,0.00,19.5,0.80,61,30.00,15.99,50,44.98,2.64,3122,0.95,17.3,79,6.27,0
6.012,-0.78,5.47,14.59,-0.33,0.88,14.72,15,0.00,0.00,19.8,0.90,61,30.00,16.62,50,45.42,2.66,3117,0.95,17.3,79,6.27,0
6.116,0.00,5.47,14.59,-0.27,0.88,14.70,15,0.00,0.00,19.5,0.92,61,29.50,16.65,50,45.73,2.66,3121,0.91,17.3,79,6.27,0
6.216,0.00,5.47,14.59,-0.27,0.88,14.70,15,0.00,0.00,19.5,0.90,61,29.50,16.53,50,45.12,2.66,3100,1.02,17.6,79,6.67,0
6.316,0.78,5.47,14.47,-0.23,0.88,14.70,15,0.00,0.00,19.5,0.92,61,29.50,16.66,50,45.57,2.66,3124,1.01,17.6,79,6.67,0
6.415,0.00,5.47,14.47,-0.19,0.88,14.69,15,0.00,0.00,19.3,0.78,61,29.50,16.51,50,45.88,2.66,3124,0.95,17.6,79,6.67,0
6.520,0.00,5.47,14.59,-0.21,0.88,14.70,15,0.00,0.00,19.5,0.60,61,29.50,16.56,50,45.85,2.66,3105,0.99,17.6,79,6.67,0
